"job_title","location","company_name","job_desc","soft_skills","technical_skills","salary"
"Senior Data Scientist","Louisville","Humana","DescriptionThe Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Senior Data Scientist work assignments involve moderately complex to complex issues where the analysis of situations or data requires an in-depth evaluation of variable factors.ResponsibilitiesThis is a unique opportunity for a motivated individual to influence Humanas vision to provide coordinated, integrated care via home care solutions and ECOM (Enterprise Clinical Operating Model). The Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The work assignments involve moderately complex to complex issues where the analysis of situations or data requires an in-depth evaluation of variable factors.ResponsibilitiesRecommend, design, and develop actionable analytic solutions for key business problems through in-depth investigations of healthcare utilization trends and outcomesUse advanced analytic techniques like machine learning, predictive modeling to develop sophisticated models to solve the business problemUse industry leading database systems, clinical decision engines and algorithms to extract meaningful insights from structured and unstructured data by leveraging NLP/MLEnsure the developed models or statistical tests are reusable and modular for effective transition to cloud in the futureWork directly with aligned business partners and assist in requirements definition, project scoping, timeline management, and results documentation to ensure professional relationship managementBuild smart systems that learn from health intervention outcomes, clinical programs over timeCollaborate with multiple cross-functional teams to understand the business needs, identify any operational barriers and issues, and facilitate their resolutionIn the first year this role will focus on the followingDevelop effective partnerships with internal business partners and coworkersWork in an agile way to produce, interpret and recommend real time optimization opportunities for the business to implement using advanced analytics techniquesEnhance the ability to work in a fast-paced environment, multitask and quickly pivot based on business needsDevelop subject matter expertise in the business needs and serve as a consulting resource for the clinical analytic needs of the stakeholdersImplement real time business feedback of analytics based on the direct needs of internal customersRequired QualificationsBachelor's Degree and 5 years of applicable experience OR Master's Degree and 3 or more years of experienceExperience in using mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutionsExperience in working with assignments that involve moderately complex to complex issues where the analysis of situations or data requires an in-depth evaluation of variable factorsExperience in developing, maintaining, and collecting structured and unstructured data sets for analysis and reportingExperience in creating reports, projections, models, and presentations to support business strategy and tacticsAbility to make decisions on moderately complex to complex issues regarding technical approach for project componentsMust be passionate about contributing to an organization focused on continuously improving consumer experiencesPreferred QualificationsMaster's DegreePhDScheduled Weekly Hours40","solve the business problem,passionate","analysis,analytic solutions,analysis,R,C,C,analysis,analytic solutions,analysis,R,R,analytic solutions,machine learning,predictive modeling,database systems,clinical decision engines,algorithms,NLP/ML,C,agile,R,R,analysis,analytic solutions,analysis,analysis",NA
"Staff Data Scientist","San Diego","Intuit","Intuit is hiring a Staff Data scientist to focus on our Consumer Tax Group. We are looking for exceptional talent that can improve the bottom lines of our TurboTax offerings.","","C",NA
"Jr. Data Scientist","New York","Iovate Health Sciences International Inc.","If you are a highly motivated individual with a passion for health & wellness along with a commitment to excellence, we want YOU! Iovate is the maker of the MuscleTech, Six Star and Hydroxycut family of products and the leader in the active nutrition, weight management and health supplements industry!Due to our rapid growth and our vision to be the #1 active nutrition and weight management supplement company in the world, our company has several career opportunities for passionate, hardworking, and dedicated individuals and we are looking for people like you to join our team!Our Jr. Data Scientist will be a critical player with the newly launched digital transformation team at Iovate. This role, based in New York City and reporting to the VP, Data Science and Analytics, will work closely with analytics and business leaders to harness the vast amount of data collected by Iovate since its inception as a competitive advantage. Initially concentrating on data centralization and storage best practices, our Data Scientist will work to drive actionable customer and consumer insights, operational efficiencies, high quality marketing and sales analytics, and prediction systems utilizing a variety of techniques, including but not limited to: statistics, machine learning, data mining, decision tree, and artificial intelligence. By allowing our large-scale data to speak to business leaders, you will help to drive change and process throughout the Iovate ecosystem.Accountabilities:Work on complex data sets to solve real world problems.Participate in the design, development and evaluation of innovative models, data science products and solutions for internal clients as well as for our digital innovation team.Building and extending Iovate’s third party data sets as necessary.Working with various internal stakeholders to enhance and our data collection procedures to include information necessary for analytical purposes.Process, cleanse and verify the integrity of our data and data systems.Participate in the design, testing, and maintenance of all data science related products.Assist with and develop automated processes for large scale analytic products and prediction.Maintain all Data Science code base that you contribute in GitHub so that our ongoing analyses are repeatable and verifiable.Provide consultation on best practices in experimental design and serve as a thought leader within the organization as to how we measure results.Core Competencies:Bachelor’s degree in Computer Science, Mathematics, Data Science, Statistics, Econometrics or other quantitative field with significant scripting needs required.At least one year of experience in utilizing data science and analytics techniques to business problems.Master’s degree in a relevant quantitative field preferred.Expertise in SQL, and familiarity with noSQL databases like MongoDB or DynamoDB preferred.Significant experience coding in R and Python required. Familiarity with dplyr, GGPlot, Pandas and other data manipulation packages will be a significant benefit to the successful candidate.Experience utilizing standard Web API’s (Facebook, Google, etc) for the purposes of ingesting data highly desirable.Experience with OLS, MLE, Machine Learning, Decision Tree/Random Forest, and AI.Culture:Located in New York we offer a dynamic, progressive, team-based environment. We offer a comprehensive benefits package and the opportunity to grow with us. For further information please visit us at www.iovate.com.Iovate Health Sciences international Inc. is an equal opportunity employer and is committed to ensuring an inclusive and accessible work environment. If you require accommodations to fully participate in the recruitment and selection process, please contact the Iovate Human Resources team to make an accommodation request. Any information received relating to accommodations will be treated as confidential.We appreciate applicant interest in this position, however, due to the volume of submissions, the Iovate Human Resources team will only contact candidates selected for an interview.Job Type: Full-time","highly motivated,passionate","C,machine learning,Git,C,C,C,SQL,SQL,MongoDB,DynamoDB,R,Python,dplyr,GGPlot,Pandas,OLS,MLE,Machine Learning,Decision Tree/Random Forest,AI,C,R,R",NA
"Sr. Data Scientist/Machine Learning Engineer","Miami","aikiu","This role is key to accelerating the growth of aikiú, since its main mission is focused on building a reputation as the main provider of – audience-based business intelligence - in the market.The Data Scientist position is of utmost relevance to aikiú, since the operations team is the machine that moves our company. This role is very wide and varied, since in order to maintain and improve our proven formula, you must design and implement solutions based on data and technologies, to respond to the needs of our customers, taking into account the market vision and the objective of leading them towards Performance – Driven Consulting.Expert level is required in the following or similar tools: Google Tag managerAdobe marketing cloud or similar.Hubspot or similarLooker or SimilarExcelBrandwatchResponsibilities: Implement and improve new, or pre-existing, operational strategies that take advantage of our database systems and processes.Support the operating team in the daily operation, through different marketing management channels and at different times of the process.Understand and communicate the business objectives of the client and aikiú to the operating team, through detailed implementation guidelines.Create and maintain the processes and decision standards in real time and generate documentation (tables, graphs, logical guidelines, etc.) so that the operating team is able to process data according to pre-existing standards and generate new ones for those who still they do not exist.Constantly question and monitor business logic and strategies at the operational level of the company, to identify gaps that could result in poor decision-making, developing recommendations in conjunction with aikiú’s team and management.Monitor the performance of aikiú’s operation’s team through metrics and indicators, as well as constantly audit project outcomes to ensure that aikiú standards and client objectives are being adequately met.Develop the relationship with our national and international technology partners.Lead the Business Operations and Analytics Department.In aikiú we support the development of the team not individualism, we encourage the use of the office with the home office, we do not accept the continued excuses, nor the buts, we encourage the how can we provide solutions to different situations, and with daily maximum effort together we will build our company of tomorrow.Job Type: Full-timeSalary: $70,000.00 to $110,000.00 /yearExperience:areas of algorithms: 5 years (Required)plus total: 5 years (Preferred)machine learning: 3 years (Required)professional it: 5 years (Required)working with data: 5 years (Required)Additional Compensation:BonusesWork Location:One locationFully RemoteBenefits:Health insuranceSigning bonusFlexible scheduleVisa Sponsorship Potentially Available:Yes: H-1B work authorizationYes: Other non-immigrant work authorization (e.g. L-1, TN, E-3, O-1, etc.)Yes: Immigrant visa sponsorship (e.g., green card sponsorship)Schedule:Monday to FridayBenefit Conditions:Only full-time employees eligible","communicate,decision-making","C,Excel,R,database systems,C,C,algorithms,R,machine learning,R,R,R,C,R,C","70,000.00 to $110,000.00"
"Data Scientist Intern","Beverly Hills","NBCUniversal","You love working with structured/unstructured data and can leverage data querying tools like SQL to extract information – both granular and high-level statistics, across cloud computing platforms. This information will help answer questions around our Ticketing/streaming Product, CRM/Marketing Campaigns, Paid Media, Digital and Social Media data. As part of the Business Intelligence team, you will work closely with stakeholders (both internal and external) to extract, summarize, model (using either R/Python or Big Data technologies) and inform leadership on KPI’s defined for the project through your high quality and timely analyses.Responsibilities:Ticketing Product AnalyticsConversion OptimizationA/B tests set-up, Reporting, analysisGenerate meaningful insights and data visualizationsMovie Product (Fandango 360) Attribution and modelingAssist with initiatives such as Proof of Concepts data extracts, Quality Assurance and other specificationsUnderstand existing structure and help supporting models that enhances studio experienceCRM/Paid marketing campaign analysis and reportingList creation through analysis of customer behavior and working with stakeholdersData operationsQualifications/RequirementsWorking towards a B.S. / M.S. degree in Data Science, Computer Science, Mathematics, Statistics, Engineering, or a related technical disciplineHighly collaborative attitude to solve problems as part of a larger teamKnowledgeable in one or more programs is required - SQL, Python, R, and Visualization toolsWorking understanding of PowerPoint Presentation and good grasp of Microsoft Excel features and functions to slice and dice dataDesired CharacteristicsIn pursuit of an Associate, Bachelor or Graduate degree at an Accredited Institution and be able to provide documentation to confirm your degree in progressCurrent class standing of sophomore or above (30 credits) (rising sophomore, junior, or senior)Cumulative GPA of 3.0 or aboveMust be 18 years of age or olderMust have unrestricted authorization to work in the U.S. without a visa or sponsorshipMust be able to work on-site in Beverly Hills, CAMust be available during our program: June 1 – August 10, Monday – Friday, about 9am-6pm, approximately 40 hours/week, for 10 weeksInternship positions are paid and do not require school creditRecent graduates will not be eligibleFollow our Fandango Intern IG page @fandangointernsSub-BusinessFandangoCareer LevelCo-op/InternCityBeverly HillsState/ProvinceCaliforniaCountryUnited StatesAbout UsAt Fandango, we love movies. From showtimes and ticketing, to engaging content and innovations in movie going- we strive to deliver the perfect movie going experience—anytime, anywhere. And to be the go-to destination for moviegoers, we think it’s all about collaboration. Anyone can build a website or app, but it takes a special group across many disciplines to create an experience that can live across multiple platforms and connected devices. Thanks to an exceptional team, we’re working hard to make Fandango a little bit better every day. Our 30 million (and growing!) online and mobile monthly visitors can now buy movie tickets at over 25,000 screens nationwide and stay for exclusive trailers, our award-winning original video series, movie reviews, celebrity interviews and more. So, if you’re looking to inspire, be inspired and work at the intersection of entertainment and technology look no further than Fandango. Visit Fandango.com/careers for a behind-the-scenes look at Fandango and follow us on LinkedIn for the latest news and updates. Fandango is an NBCUniversal Company.NoticesNBCUniversal’s policy is to provide equal employment opportunities to all applicants and employees without regard to race, color, religion, creed, gender, gender identity or expression, age, national origin or ancestry, citizenship, disability, sexual orientation, marital status, pregnancy, veteran status, membership in the uniformed services, genetic information, or any other basis protected by applicable law. NBCUniversal will consider for employment qualified applicants with criminal histories in a manner consistent with relevant legal requirements, including the City of Los Angeles Fair Chance Initiative For Hiring Ordinance, where applicable.","collaboration","SQL,C,R,C,Business Intelligence,R,Python,Big Data,R,C,A/B tests set-up,R,analysis,data visualizations,C,C,R,analysis,analysis,R,C,SQL,Python,R,Visualization,Excel,C,C,C,C,R,C,C,C,C,C,C,C,C,C,C,C",NA
"Data Scientist - New College Grad","Sunnyvale","Proofpoint","It's fun to work in a company where people truly BELIEVE in what they're doing!We're committed to bringing passion and customer focus to the business.The RoleWould you like to apply cutting edge data science techniques to help protect the world against cyber threats? At Proofpoint, we work with unique data sets and craft peta byte scale solutions to help protect some of the most targeted people especially in fortune 500 companies. One of the things that makes our problem space so challenging is that dynamic nature of the threat landscape. We need to outsmart the threat actors and be two steps ahead of the game. This is where static rule based systems can’t keep up with the sheer number of threat features we deal with and we need smarter machine learning solutions to help tackle the problem. As a member of our team, you will be part of the design and development of new game changing solutions that would have a real impact on the next generation security solutions at Proofpoint.Your day to dayAnalyze data to research and improvement classifiersOversee creation of data sets for machine learning training/verification/testingResearch improving and creating new models for improving classificationWork with engineering to productionize modelsDevelop methods to evaluation new machine learning modelsCreate longer monitor of models.What You Bring to the TeamGood understanding of machine learning algorithms, tools and platformsExperience in at least one of these Toolkits: numpy, scipy, scikit-learn, tensorflow, pytorch, keras, genism, vowpal wabbit, etc.Understanding of programming fundamentalsPython proficiencySelf-starter and intellectual curiosityGreat communication skills, ability to explain predictive analytics to non-technical audienceProficiency in data exploration techniques and toolsProven understanding of scientific methodMaster/Ph.D. encourageIf you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","communication,enthusiastic over-achievers","R,machine learning,machine learning,R,machine learning,C,machine learning,algorithms,numpy,scipy,scikit-learn,tensorflow,pytorch,keras,genism,vowpal wabbit,Python",NA
"Junior Data Scientist (Entry Level)","Plano","Sigmoid","About Sigmoid Analytics*Sigmoid is data solutions consulting company focused on building data engineering & data science solutions for large technology, financial services & retail CPG companies.Having started in 2013 by three IIT Kharagpur Alumni, Rahul, Lokesh & Mayur. we have now grown into a 200+ members strong team with offices in San Francisco, CA; Dallas, TX; Jersey City, NJ and Bangalore, India. Sigmoid is rapidly growing & is backed by Sequoia Capital.**Sigmoid, a leader in real-time interactive solutions & is a proud winner of the #Tie50 Award for 2018. We have been recognized as a winner among 7400+ companies across 28 countries. It's a heartwarming feeling, inspires us further to achieve greater heights in the times to come.**Basic Qualification: Currently studying in under-graduate course or with a Bachelor’s/ Master’s degree in Statistics/Engineering/ ScienceExperience: 0-3 yearsWhat will you be doing: You will undergo a training program for technology development, software development process & client communication.Once training is complete, you will be assigned a client team inside Sigmoid to work with on an active engagement. Duties will include, but not restricted to:Client engagement - Engage with clients to understand their business challengesData Science: Develop software along with team for data pipeline developmentData Analysis: For Development, Test environment Creation & monitoring data pipelinesExperience working in a global delivery model alongside offshore teams to solve data-intensive problems using Sigmoid’s data engineering frameworks and toolsGather client requirements onsite in US & provide context to the offshore teams based out of Bangalore, IndiaPresent the results of the work to the client’s senior management, offering actionable insights and recommendations that lead to measurable business impactBuild relationships with clients, helping them improve their consumption of analytics to drive their business operations and decision-makingWhat you will bring to the table:Ability to code and develop scalable software systemsA problem solving mindset - Ability to find the problem, and identify the root cause of the situationGood communication skills, so that you are able to connect with your colleagues and clientGood interpersonal skills - with your colleagues and clients. Both the client and your colleagues should be able to connect with you.What you will gain from the experience:An insight into the big data industry which is the latest trend in the IT industryIn depth knowledge of how data engineering works in real life scenarioOpportunity to interact with top level executives in the industry, and get hands on experience in Machine Learning, Data Science, Data EngineeringExposure - as to how we at Sigmoid uphold our business values, while interacting and working with clients in multiple countriesYou will learn a lot, and have an upper hand over your peers with regard to your knowledge of handling data, solving real life data related problems, interacting with clients on a real life basis. And having the opportunity to work with the top brains from premier educational institutions in USA & India.*Job Type: Full-timeSalary: $50,000.00 to $70,000.00 /yearWork authorization:United States (Required)Work Location:One locationMultiple locationsBenefits:Health insuranceDental insuranceVision insurancePaid time offRelocation assistance","communication,decision-making,problem solving,communication,interpersonal skills","C,R,C,C,C,C,C,C,big data,Machine Learning,R,R","50,000.00 to $70,000.00"
"Data Science Intern","Los Angeles","Dolphin","What We DoDolphin (withdolphin.com) is a free resource that helps you:Find high-impact jobs and internships solving pressing issues such as climate change, healthcare, education, space exploration and more.Stand out to recruiters with Q&As that our in-house recruiters work with you to polish to emphasize you're more than just a resume.Make up to $15,000 by referring your friends to high-impact jobs.What You'll DoDolphin is currently looking for Data Science interns for Summer 2020. Successful interns will be quantitative fast learners proficient in SQL, Python, Heap.io, and Google Analytics that also understand the Dolphin product and growth funnel in-depth.We believe that the highest-leverage thing to do right now is to connect talented people to roles tackling major problems they care about. The Data Science Intern will play a pivotal part in helping us achieve this mission.Responsibilities include:Analyzing our database of jobs for patterns in job types and job content.Analyzing user activity data patterns to find reasons why people engage and churn.Building a full funnel view of the user journey with our analytics stack.Making product recommendations based on the data.Helping the growth and product teams set up and track experiments.This internship is full-time from 6/1/2020 to 8/21/2020 in Los Angeles with possibility for remote work. Learn more at withdolphin.com.Job Types: Full-time, Temporary, Internship, ContractSalary: $25.00 /hourContract Renewal:LikelyFull Time Opportunity:YesWork Location:One locationFully RemoteBenefits:NoneSchedule:Monday to Friday","","SQL,Python,Heap.io,Google Analytics,R,C,C,R,R",NA
"2020 Fulltime: Data Scientist - Technology","Plano","Walmart","Position Summary...What you'll do...Develops analytical models to drive analytics insights by gathering data from internal and external sources; evaluating data usability based on project goals; synthesizing data into large datasets to support project goals; developing statistical models and computational algorithms to analyze data; utilizing the analytics project lifecycle process to drive predictive modeling; coding, testing, and maintaining analytical software tools; identifying trends, patterns and discrepancies in data; training statistical models for replication for future projects; and presenting data insights and recommendations to key stakeholders.Leads small and participates in large data analytics project teams by serving as a technical lead for analytics projects; working with project teams and business partners to determine project goals; developing contingency plans for data analysis; determining modeling based on business needs; directing the analysis of data; gathering data and developing reports as needed; utilizing business knowledge to ensure data supports project goals; analyzing data based on identified variables; reviewing data results to ensure accuracy; and communicating results and insights to the project team and business partners.Presents data insights and recommendations to key stakeholders by developing insights based on data analysis; applying analytical results to project goals; identifying trends and key insights; translating results into business actions; and presenting insights and recommendations to key stakeholders.Participates in the continuous improvement of data science and analytics by developing replicable solutions (for example, codified data products, project documentation, process flowcharts) to ensure solutions are leveraged for future projects; building and maintaining a library of reusable algorithms for future use; ensuring developed code is documented; and coaching and mentoring analysts across the division and project teams. Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plans by providing expert advice and guidance to others in the application of information and best practices; supporting and aligning efforts to meet customer and business needs; and building commitment for perspectives and rationales. Provides and supports the implementation of business solutions by building relationships and partnerships with key stakeholders; identifying business needs; determining and carrying out necessary processes and practices; monitoring progress and results; recognizing and capitalizing on improvement opportunities; and adapting to competing demands, organizational changes, and new responsibilities. Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrity by incorporating these into the development and implementation of business plans; using the Open Door Policy; and demonstrating and assisting others with how to apply these in executing business processes and practices.Minimum Qualifications...Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.Minimum Qualifications: Bachelor of Science and 2 years' data science experience OR Master of Science and 1 year's data science experience.Preferred Qualifications...Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.Analytics - Big Data, Business Analytics, Oracle, Programming Languages, Relational Database Management System (RDMS), Statistical Programming LanguageBachelors: Analytics, Bachelors: Economics, Bachelors: Mathematics, Bachelors: Statistics, Doctorate: Analytics, Doctorate: Mathematics, Doctorate: Statistics, Masters: Analytics, Masters: Economics, Masters: Mathematics, Masters: Statistics","","algorithms,predictive modeling,analysis,analysis,analysis,algorithms,R,Big Data,Business Analytics,Oracle,R,R,Statistical Programming Language",NA
"Data Scientist (All Levels) - Santa Clara","Santa Clara","LeanTaaS","Help build technology that saves lives!LeanTaaS is a fast-growing healthcare technology company that uses sophisticated optimization, simulation, and machine learning to make healthcare providers more efficient.Our technology opens capacity at many of the best US hospitals (Stanford, UCSF, Duke, etc.), so that more patients can receive the best care on the planetOur leadership includes a senior partner from McKinsey and Google executivesWe are a market leader in our spaceWe recently raised the last $40M tranche of our Series C from Goldman Sachs bringing the investment total to $110MWe are in CBInsights’ top 100 AI companies in the worldWe welcome mission-driven data scientists across all experience levels. If our mission of improving patient access to healthcare and their experience is exciting to you, come talk to us!You will:Work in a small data science team imbedded into one of our four product verticalsMake sense of complex electronic health record (EHR) data related to surgeries, doctors, patients, etc. and help us derive greater value from our dataEnhance our simulation, optimization, and prediction capabilitiesOwn your projects end-to-end including a technology stack, data consumption, modeling, algorithm development and evaluation, and production deploymentWear a product hat to ideate and iterate on features and experiences that allow your users to run hospitals like a clockMeet with customers to get their feedback on your services and seek to improve themWho you are:You have an advanced degree in operations research, machine learning, or a related field and 2+ years of relevant industry or academic experienceYou have strong analytical and problem solving skills and a deep understanding in at least one sub-area of operations research or machine learningYou write clean Python and SQL codeYou collaborate with cross-functional species like product managers, data engineers, and data analystsYou communicate complex quantitative matters in a clear, precise, and actionable mannerYou have a great sense of ownership and attention to detail","problem solving,communicate","machine learning,C,C,C,AI,R,machine learning,machine learning,Python,SQL",NA
