Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2014 Poverty and Median Household Income Estimates - States and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release Date:  December 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,US,United States,"48,208,387","47,966,830",48449944.0,15.5,15.4,15.6,"15,686,012","15,564,145",15807879.0,21.7,21.5,21.9,"10,714,518","10,632,252",10796784.0,20.4,20.2,20.6,"53,657","53,564","53,750","4,658,187","4,609,104",4707270.0,23.9,23.7,24.1
01,AL,Alabama,"905,682","888,317",923047.0,19.2,18.8,19.6,"298,682","290,188",307176.0,27.4,26.6,28.2,"207,154","199,920",214388.0,25.9,25.0,26.8,"42,917","42,335","43,499","88,203","83,938",92468.0,30.6,29.1,32.1
02,AK,Alaska,"81,622","77,611",85633.0,11.4,10.8,12.0,"28,273","26,300",30246.0,15.5,14.4,16.6,"18,113","16,500",19726.0,14.1,12.8,15.4,"70,898","69,423","72,373","9,170","8,090",10250.0,17.4,15.3,19.5
04,AZ,Arizona,"1,195,889","1,175,667",1216111.0,18.2,17.9,18.5,"406,457","396,052",416862.0,25.6,24.9,26.3,"278,735","269,805",287665.0,24.0,23.2,24.8,"50,036","49,561","50,511","118,958","113,468",124448.0,28.4,27.1,29.7
05,AR,Arkansas,"539,999","528,604",551394.0,18.7,18.3,19.1,"183,334","177,391",189277.0,26.3,25.4,27.2,"123,704","118,685",128723.0,24.5,23.5,25.5,"41,335","40,702","41,968","55,833","52,857",58809.0,29.7,28.1,31.3
06,CA,California,"6,253,423","6,203,456",6303390.0,16.4,16.3,16.5,"2,040,811","2,011,678",2069944.0,22.6,22.3,22.9,"1,424,469","1,398,503",1450435.0,21.9,21.5,22.3,"61,927","61,689","62,165","575,759","562,058",589460.0,23.4,22.8,24.0
08,CO,Colorado,"632,987","617,871",648103.0,12.1,11.8,12.4,"191,679","183,332",200026.0,15.6,14.9,16.3,"133,066","125,733",140399.0,14.9,14.1,15.7,"61,324","60,846","61,802","53,751","49,938",57564.0,16.3,15.1,17.5
09,CT,Connecticut,"375,281","364,395",386167.0,10.8,10.5,11.1,"113,733","107,953",119513.0,14.9,14.1,15.7,"78,909","73,844",83974.0,13.7,12.8,14.6,"70,007","69,219","70,795","31,176","28,561",33791.0,16.8,15.4,18.2
10,DE,Delaware,"118,032","113,079",122985.0,13.0,12.5,13.5,"38,543","36,281",40805.0,19.2,18.1,20.3,"25,833","23,961",27705.0,17.8,16.5,19.1,"59,853","58,463","61,243","11,983","10,803",13163.0,21.8,19.7,23.9
11,DC,District of Columbia,"114,790","108,967",120613.0,18.4,17.5,19.3,"32,807","29,187",36427.0,28.9,25.7,32.1,"20,378","17,109",23647.0,28.6,24.0,33.2,"69,992","68,375","71,609","11,879","10,525",13233.0,28.3,25.1,31.5
12,FL,Florida,"3,231,142","3,187,670",3274614.0,16.6,16.4,16.8,"962,857","940,621",985093.0,24.2,23.6,24.8,"666,307","647,128",685486.0,22.9,22.2,23.6,"47,439","47,113","47,765","280,898","270,364",291432.0,26.5,25.5,27.5
13,GA,Georgia,"1,802,783","1,775,584",1829982.0,18.4,18.1,18.7,"646,960","631,217",662703.0,26.3,25.7,26.9,"447,407","433,676",461138.0,24.8,24.0,25.6,"49,240","48,708","49,772","191,807","184,192",199422.0,29.6,28.4,30.8
15,HI,Hawaii,"158,266","151,850",164682.0,11.5,11.0,12.0,"45,637","42,587",48687.0,15.2,14.2,16.2,"31,378","28,808",33948.0,14.9,13.7,16.1,"69,549","68,236","70,862","12,875","11,340",14410.0,14.6,12.9,16.3
16,ID,Idaho,"237,604","230,083",245125.0,14.8,14.3,15.3,"80,668","76,639",84697.0,19.0,18.1,19.9,"54,061","50,551",57571.0,17.3,16.2,18.4,"47,572","46,434","48,710","24,774","22,973",26575.0,22.4,20.8,24.0
17,IL,Illinois,"1,802,337","1,778,953",1825721.0,14.3,14.1,14.5,"591,750","577,617",605883.0,20.1,19.6,20.6,"404,950","392,935",416965.0,18.8,18.2,19.4,"57,458","57,035","57,881","175,611","168,354",182868.0,22.7,21.8,23.6
18,IN,Indiana,"968,437","950,798",986076.0,15.2,14.9,15.5,"328,349","318,378",338320.0,21.2,20.6,21.8,"217,465","209,291",225639.0,19.3,18.6,20.0,"49,384","48,906","49,862","103,837","98,555",109119.0,25.4,24.1,26.7
19,IA,Iowa,"368,678","358,553",378803.0,12.3,12.0,12.6,"110,382","104,929",115835.0,15.5,14.7,16.3,"74,948","69,961",79935.0,14.5,13.5,15.5,"53,816","53,087","54,545","31,946","29,841",34051.0,16.7,15.6,17.8
20,KS,Kansas,"381,506","371,806",391206.0,13.5,13.2,13.8,"125,562","120,243",130881.0,17.6,16.9,18.3,"83,873","79,397",88349.0,16.4,15.5,17.3,"52,392","51,712","53,072","38,604","35,853",41355.0,19.6,18.2,21.0
21,KY,Kentucky,"812,803","797,212",828394.0,19.0,18.6,19.4,"256,368","249,013",263723.0,25.9,25.2,26.6,"171,281","165,044",177518.0,24.0,23.1,24.9,"42,914","42,243","43,585","79,636","75,937",83335.0,29.7,28.3,31.1
22,LA,Louisiana,"898,902","882,243",915561.0,19.9,19.5,20.3,"307,469","298,623",316315.0,28.0,27.2,28.8,"207,577","200,114",215040.0,26.3,25.4,27.2,"44,680","43,971","45,389","95,627","91,157",100097.0,31.6,30.1,33.1
23,ME,Maine,"181,737","175,900",187574.0,14.0,13.5,14.5,"47,862","45,193",50531.0,19.0,17.9,20.1,"31,873","29,590",34156.0,17.0,15.8,18.2,"49,381","48,366","50,396","14,555","13,226",15884.0,23.0,20.9,25.1
24,MD,Maryland,"604,762","588,802",620722.0,10.4,10.1,10.7,"183,531","174,546",192516.0,13.8,13.1,14.5,"126,829","119,057",134601.0,13.2,12.4,14.0,"73,851","73,027","74,675","51,742","47,493",55991.0,14.3,13.1,15.5
25,MA,Massachusetts,"760,211","743,843",776579.0,11.7,11.4,12.0,"209,291","200,777",217805.0,15.3,14.7,15.9,"143,026","135,555",150497.0,14.2,13.5,14.9,"69,200","68,303","70,097","61,154","57,232",65076.0,17.1,16.0,18.2
26,MI,Michigan,"1,567,465","1,544,878",1590052.0,16.2,16.0,16.4,"492,257","482,045",502469.0,22.6,22.1,23.1,"336,070","327,094",345046.0,20.8,20.2,21.4,"49,755","49,373","50,137","144,887","140,024",149750.0,26.0,25.1,26.9
27,MN,Minnesota,"607,870","594,503",621237.0,11.4,11.1,11.7,"186,025","178,092",193958.0,14.8,14.2,15.4,"123,053","116,214",129892.0,13.5,12.8,14.2,"61,473","61,010","61,936","57,480","53,738",61222.0,16.8,15.7,17.9
28,MS,Mississippi,"634,960","621,876",648044.0,21.9,21.4,22.4,"220,885","213,417",228353.0,30.7,29.7,31.7,"154,129","147,643",160615.0,29.4,28.2,30.6,"39,738","38,998","40,478","63,695","60,086",67304.0,33.3,31.4,35.2
29,MO,Missouri,"908,394","890,929",925859.0,15.5,15.2,15.8,"289,287","279,932",298642.0,21.3,20.6,22.0,"192,099","184,094",200104.0,19.5,18.7,20.3,"48,288","47,734","48,842","89,931","85,139",94723.0,24.7,23.4,26.0
30,MT,Montana,"151,915","146,451",157379.0,15.2,14.7,15.7,"42,150","39,999",44301.0,19.2,18.2,20.2,"28,508","26,711",30305.0,18.0,16.9,19.1,"46,608","45,512","47,704","12,452","11,325",13579.0,20.8,18.9,22.7
31,NE,Nebraska,"225,054","218,509",231599.0,12.3,11.9,12.7,"73,270","69,375",77165.0,16.0,15.2,16.8,"48,249","45,075",51423.0,14.7,13.7,15.7,"52,803","52,139","53,467","23,075","20,914",25236.0,18.0,16.3,19.7
32,NV,Nevada,"430,447","418,251",442643.0,15.4,15.0,15.8,"144,947","138,676",151218.0,22.2,21.2,23.2,"96,913","91,607",102219.0,20.2,19.1,21.3,"51,487","50,828","52,146","45,395","42,193",48597.0,26.3,24.4,28.2
33,NH,New Hampshire,"117,822","112,610",123034.0,9.2,8.8,9.6,"33,155","30,479",35831.0,12.6,11.6,13.6,"22,097","19,783",24411.0,11.1,9.9,12.3,"66,469","65,316","67,622","9,641","8,415",10867.0,15.2,13.3,17.1
34,NJ,New Jersey,"972,441","954,252",990630.0,11.1,10.9,11.3,"314,073","303,483",324663.0,15.8,15.3,16.3,"216,685","207,290",226080.0,14.8,14.2,15.4,"71,968","71,536","72,400","91,945","86,798",97092.0,17.6,16.6,18.6
35,NM,New Mexico,"420,388","409,771",431005.0,20.6,20.1,21.1,"138,918","133,752",144084.0,28.0,27.0,29.0,"93,819","89,538",98100.0,26.2,25.0,27.4,"44,905","44,100","45,710","42,581","39,913",45249.0,31.5,29.5,33.5
36,NY,New York,"3,082,613","3,046,367",3118859.0,16.0,15.8,16.2,"949,253","930,163",968343.0,22.9,22.4,23.4,"646,557","631,790",661324.0,21.7,21.2,22.2,"58,771","58,381","59,161","284,767","272,691",296843.0,24.6,23.6,25.6
37,NC,North Carolina,"1,663,954","1,640,565",1687343.0,17.2,17.0,17.4,"544,149","530,093",558205.0,24.1,23.5,24.7,"373,438","361,052",385824.0,22.6,21.8,23.4,"46,596","46,219","46,973","161,245","154,616",167874.0,27.1,26.0,28.2
38,ND,North Dakota,"79,203","75,164",83242.0,11.1,10.5,11.7,"22,572","20,816",24328.0,13.7,12.6,14.8,"14,011","12,593",15429.0,12.3,11.1,13.5,"60,227","58,786","61,668","7,779","6,781",8777.0,15.7,13.7,17.7
